,num_campo,Ba_ppm ,Co_ppm ,Cr_ppm ,Cu_ppm ,Fe_pct   ,Mg_pct   ,Mn_ppm ,V_ppm ,K-classes,Lat,Long
0,1014-CB-S-0001,300.0,7.0,70.0,15.0,2.0,0.1,1500.0,30.0,2,-14.534904000000001,-39.967096999999995
1,1014-CB-S-0001R,500.0,10.0,200.0,70.0,3.0,0.15,2000.0,50.0,2,-14.534451999999998,-39.967095
2,1014-CB-S-0003,700.0,15.0,30.0,15.0,3.0,0.2,3000.0,50.0,1,-14.529371,-39.938303999999995
3,1014-CB-S-0004,1000.0,10.0,30.0,20.0,3.0,0.15,3000.0,30.0,1,-14.525310000000001,-39.936431
4,1014-CB-S-0005,300.0,10.0,70.0,70.0,3.0,0.1,1500.0,50.0,2,-14.544228,-39.984842
5,1014-CB-S-0007,300.0,10.0,100.0,70.0,3.0,0.1,2000.0,50.0,2,-14.557807,-39.977368
6,1014-CB-S-0008,300.0,5.0,50.0,50.0,1.5,0.15,500.0,30.0,0,-14.553957999999998,-39.984745000000004
7,1014-CB-S-0009,150.0,5.0,70.0,150.0,2.0,0.03,1000.0,50.0,0,-14.5583,-39.990865
8,1014-CB-S-0010,700.0,7.0,70.0,100.0,3.0,0.15,1500.0,30.0,2,-14.563251000000001,-39.984499
9,1014-CB-S-0011,700.0,15.0,150.0,70.0,3.0,0.15,1500.0,50.0,2,-14.573286999999999,-39.999648
10,1014-CB-S-0013,700.0,7.0,50.0,70.0,3.0,0.2,1500.0,30.0,2,-14.537385,-39.915399
11,1014-CB-S-0015,700.0,7.0,30.0,50.0,3.0,0.15,1000.0,50.0,2,-14.538913,-39.926551
12,1014-CB-S-0017,700.0,15.0,70.0,70.0,5.0,0.15,5000.0,30.0,1,-14.580178,-39.998315999999996
13,1014-CB-S-0020,700.0,7.0,20.0,200.0,1.5,0.1,700.0,30.0,0,-14.592651000000002,-39.939036
14,1014-CB-S-0021,200.0,10.0,50.0,70.0,2.0,0.07,1000.0,50.0,0,-14.624956,-39.948665000000005
15,1014-CB-S-0022,300.0,7.0,70.0,50.0,1.5,0.05,700.0,50.0,0,-14.628792,-39.950271
16,1014-CB-S-0022R,300.0,7.0,50.0,30.0,1.5,0.05,700.0,50.0,0,-14.62834,-39.950269
17,1014-CB-S-0023,150.0,15.0,70.0,10.0,5.0,0.05,500.0,50.0,0,-14.616909,-39.975809999999996
18,1014-CB-S-0024,300.0,30.0,100.0,20.0,5.0,0.1,1000.0,50.0,0,-14.616124,-39.981495
19,1014-CB-S-0025,300.0,15.0,70.0,100.0,3.0,0.1,1500.0,50.0,2,-14.604701,-39.976684999999996
20,1014-CB-S-0026,150.0,20.0,70.0,5.0,3.0,0.05,1500.0,50.0,2,-14.606064000000002,-39.974834
21,1014-CB-S-0027,700.0,15.0,100.0,7.0,3.0,0.15,3000.0,30.0,1,-14.601579000000001,-39.966459
22,1014-CB-S-0028,700.0,15.0,150.0,10.0,2.0,0.3,1500.0,30.0,2,-14.596151,-39.967364
23,1014-CB-S-0029,700.0,7.0,50.0,15.0,3.0,0.15,1500.0,30.0,2,-14.600692,-39.962278000000005
24,1014-CB-S-0030,700.0,20.0,50.0,10.0,3.0,0.3,1500.0,30.0,2,-14.575906,-39.867827
25,1014-CB-S-0035,500.0,20.0,50.0,15.0,3.0,0.5,700.0,100.0,0,-14.620117,-39.849097
26,1014-CB-S-0037,1000.0,15.0,50.0,200.0,3.0,0.7,700.0,50.0,0,-14.642389999999999,-39.814363
27,1014-CB-S-0038,1000.0,15.0,100.0,10.0,3.0,0.5,700.0,50.0,0,-14.645109,-39.812773
28,1014-CB-S-0039,700.0,30.0,70.0,10.0,3.0,0.5,1000.0,50.0,2,-14.610822,-39.82763
29,1014-CB-S-0041,700.0,20.0,50.0,7.0,3.0,0.3,700.0,50.0,0,-14.615126,-39.822531
30,1014-CB-S-0042,500.0,10.0,50.0,5.0,3.0,0.3,700.0,50.0,0,-14.577778,-39.806235
31,1014-CB-S-0043,500.0,15.0,50.0,5.0,3.0,0.5,3000.0,50.0,1,-14.556063,-39.811885
32,1014-CB-S-0045,700.0,20.0,50.0,50.0,3.0,0.3,700.0,50.0,0,-14.563395000000002,-39.825507
33,1014-CB-S-0046,200.0,10.0,100.0,30.0,3.0,0.1,1000.0,30.0,0,-14.675889000000002,-39.969224
34,1014-CB-S-0047,300.0,7.0,70.0,15.0,2.0,0.1,700.0,30.0,0,-14.675301999999999,-39.967508
35,1014-CB-S-0047R,200.0,7.0,70.0,20.0,2.0,0.1,1500.0,30.0,2,-14.675301999999999,-39.967508
36,1014-CB-S-0048,200.0,7.0,150.0,20.0,2.0,0.1,700.0,30.0,0,-14.661657,-39.98265
37,1014-CB-S-0049,300.0,15.0,100.0,30.0,3.0,0.1,1500.0,30.0,2,-14.66071,-39.986218
38,1014-CB-S-0050,200.0,20.0,150.0,70.0,3.0,0.1,1500.0,100.0,2,-14.661697,-39.988795
39,1014-CB-S-0051,700.0,20.0,150.0,20.0,3.0,0.7,700.0,50.0,0,-14.702926000000001,-39.943220000000004
40,1014-CB-S-0052,700.0,5.0,50.0,5.0,2.0,0.15,700.0,20.0,0,-14.75849,-39.951356
41,1014-CB-S-0053,700.0,7.0,50.0,15.0,2.0,0.2,700.0,30.0,0,-14.748575,-39.950990000000004
42,1014-CB-S-0054,700.0,15.0,70.0,30.0,3.0,0.5,500.0,50.0,0,-14.762889999999999,-39.957412
43,1014-CB-S-0055,700.0,10.0,100.0,30.0,3.0,0.15,1500.0,30.0,2,-14.770094,-39.986709000000005
44,1014-CB-S-0056,100.0,7.0,150.0,50.0,3.0,0.1,700.0,50.0,0,-14.755185999999998,-39.984784000000005
45,1014-CB-S-0057,150.0,7.0,70.0,30.0,3.0,0.2,700.0,30.0,0,-14.740293,-39.979144
46,1014-CB-S-0059,300.0,5.0,30.0,20.0,2.0,0.15,700.0,20.0,0,-14.726567999999999,-39.954002
47,1014-CB-S-0060,1000.0,20.0,70.0,20.0,3.0,0.7,1500.0,50.0,2,-14.658565,-39.794696
48,1014-CB-S-0061,1000.0,30.0,70.0,50.0,3.0,0.7,700.0,50.0,0,-14.671265,-39.796077000000004
49,1014-CB-S-0062,1000.0,30.0,70.0,15.0,3.0,0.7,700.0,70.0,0,-14.661369,-39.81629
50,1014-CB-S-0063,1000.0,20.0,70.0,20.0,3.0,0.5,700.0,50.0,0,-14.684479999999999,-39.799659000000005
51,1014-CB-S-0064,1000.0,30.0,70.0,50.0,3.0,0.7,1000.0,70.0,2,-14.692629,-39.795974
52,1014-CB-S-0067,1500.0,30.0,70.0,20.0,3.0,0.7,1500.0,50.0,3,-14.697410999999999,-39.806504
53,1014-CB-S-0069,1500.0,30.0,150.0,30.0,3.0,0.7,1500.0,50.0,3,-14.686064000000002,-39.819849
54,1014-CB-S-0071,1000.0,20.0,150.0,15.0,3.0,0.5,1000.0,50.0,2,-14.710657999999999,-39.810496
55,1014-CB-S-0072,1000.0,15.0,100.0,30.0,3.0,0.5,1000.0,50.0,2,-14.708195000000002,-39.814367
56,1014-ER-S-0120,300.0,7.0,50.0,5.0,3.0,0.15,1500.0,20.0,2,-14.867966000000001,-39.976037
57,1014-ER-S-0122,200.0,5.0,10.0,5.0,3.0,0.02,1000.0,20.0,0,-14.869548000000002,-39.983442
